time,symbol,quantity,price,side
2021-03-01 10:04:23,A,200,23.86,BUY
2021-03-01 10:05:55,B,100,23.79,BUY
2021-03-01 10:09:20,A,300,23.89,BUY
2021-03-01 10:12:08,A,200,23.85,SELL
2021-03-01 10:15:06,A,100,23.74,BUY
2021-03-01 10:16:45,A,300,23.95,BUY
2021-03-01 10:21:02,A,400,23.94,BUY
2021-03-01 10:25:03,B,100,23.72,SELL
2021-03-01 10:28:44,B,300,23.98,BUY
2021-03-01 10:30:42,A,400,23.89,SELL
2021-03-01 10:31:53,A,400,24.0,SELL
2021-03-01 10:35:48,B,300,23.77,SELL
2021-03-01 10:37:12,B,300,23.98,BUY
2021-03-01 10:41:29,A,300,23.84,SELL
2021-03-01 10:45:41,A,100,23.85,BUY
2021-03-01 10:48:53,A,200,23.79,BUY
2021-03-01 10:49:01,A,100,23.82,SELL
2021-03-01 10:52:43,B,100,23.93,SELL
2021-03-01 10:54:01,A,100,23.89,SELL
2021-03-01 10:56:25,B,100,23.77,SELL
2021-03-01 11:00:59,A,200,23.9,BUY
2021-03-01 11:02:02,B,300,23.92,BUY
2021-03-01 11:06:21,A,300,23.92,SELL
2021-03-01 11:09:04,A,200,23.95,BUY
2021-03-01 11:11:13,A,200,23.79,SELL
2021-03-01 11:12:53,A,200,23.75,BUY
2021-03-01 11:13:00,B,300,23.89,BUY
2021-03-01 11:17:56,A,200,23.9,BUY
2021-03-01 11:20:47,B,300,23.93,BUY
2021-03-01 11:23:55,A,300,23.77,BUY
2021-03-01 11:24:49,A,400,23.87,BUY
2021-03-01 11:28:55,A,300,23.92,SELL
2021-03-01 11:30:06,B,200,23.87,SELL
2021-03-01 11:33:40,B,100,23.8,BUY
2021-03-01 11:36:35,A,200,23.98,SELL
2021-03-01 11:37:18,B,200,23.92,BUY
2021-03-01 11:40:41,A,400,23.8,BUY
2021-03-01 11:43:26,A,100,24.0,SELL
2021-03-01 11:44:34,B,200,23.78,BUY
2021-03-01 11:47:37,A,100,23.91,BUY
2021-03-01 11:49:08,B,300,23.78,SELL
2021-03-01 11:49:37,B,100,23.78,SELL
2021-03-01 11:53:33,A,100,23.82,SELL
2021-03-01 11:56:50,A,200,23.89,SELL
2021-03-01 12:00:43,A,300,23.84,BUY
2021-03-01 12:02:40,B,300,23.92,SELL
2021-03-01 12:06:43,B,100,23.8,SELL
2021-03-01 12:07:30,B,300,23.93,SELL
2021-03-01 12:10:53,B,300,23.86,BUY
2021-03-01 12:12:41,B,200,23.96,BUY
2021-03-01 12:14:30,B,100,23.82,SELL
2021-03-01 12:16:17,A,200,23.93,SELL
2021-03-01 12:16:24,B,100,23.94,BUY
2021-03-01 12:21:13,B,200,23.94,SELL
2021-03-01 12:22:42,A,100,23.75,SELL
2021-03-01 12:23:16,B,100,23.95,BUY
2021-03-01 12:25:49,A,200,23.78,BUY
2021-03-01 12:28:12,B,400,23.79,SELL
2021-03-01 12:30:27,B,200,23.96,BUY
2021-03-01 12:31:26,A,300,23.77,BUY
2021-03-01 12:32:49,A,500,23.71,SELL
2021-03-01 12:33:56,B,200,23.93,BUY
2021-03-01 12:36:47,B,100,23.7,BUY
2021-03-01 12:39:58,B,400,23.89,BUY
2021-03-01 12:42:59,B,300,23.89,SELL
2021-03-01 12:45:54,B,100,23.99,SELL
